epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
29,726647.0,390609.0,336038.0,4668,2521,2147,0.462450130531055,0.6150033611033459,0.4760667787975962,0.18540740193108754,0.8682993653613272,0.13903329264415842,0,0.36290817256209856,0,0.0005859375,62963.0,0.0,216,0.495204108979841,95848.0,37008.0,339,0.5263620481587588,89118.0,41338.0,336,0.6025228326147505,121304.0,72968.0,331,0.6150033611033459,132397.0,83411.0,333,0.4995607207528643,75821.0,30284.0,330,0.5753873644574422,78112.0,43045.0,333,0.4939078568137668,71084.0,27984.0,336
30,700374.0,432285.0,268089.0,3973,2466,1507,0.3827797719504145,0.609034021166229,0.4373873890058295,0.17893307250154933,0.8566346039878892,0.15337162715920338,0,0.3722104128029551,0,0.0005859375,69862.0,0.0,172,0.5273276735419197,97860.0,45324.0,331,0.4122944302756138,75785.0,16458.0,334,0.49692640112013126,116292.0,45836.0,328,0.5594162902206237,129722.0,67304.0,339,0.38138196545782366,51761.0,9456.0,333,0.609034021166229,85236.0,52665.0,332,0.5121323927642952,73856.0,31046.0,335
31,694690.0,432533.0,262157.0,3876,2363,1513,0.37737264103412976,0.6511119678584449,0.40681253300198306,0.18889158712979318,0.8226431156061302,0.21812211202118914,0,0.38747912789394756,0,0.0010742187499999999,68428.0,0.0,170,0.5575287463238771,126152.0,64261.0,333,0.3379750963573601,62779.0,4952.0,333,0.4696152483656706,115032.0,40640.0,332,0.6511119678584449,147846.0,103821.0,331,0.27333984375,41156.0,0.0,333,0.4997715135597598,65852.0,26330.0,339,0.46408362905075184,67445.0,22153.0,334
32,754881.0,417985.0,336896.0,4715,2621,2094,0.4462902099801154,0.6247119780803015,0.45402267718406186,0.2030141574092579,0.833375682525394,0.16761598848030324,0,0.3980793695615737,0,0.0005859375,75774.0,0.0,236,0.6247119780803015,134240.0,87218.0,338,0.5560613941287408,89886.0,45901.0,331,0.507056713568783,122151.0,49976.0,331,0.5968582568637402,119589.0,71037.0,332,0.27358398437500003,50696.0,0.0,342,0.6236537075126404,97974.0,63448.0,331,0.4496694454432888,64571.0,19316.0,334
33,675828.0,444988.0,230840.0,3729,2665,1064,0.3415661973164764,0.6032813182788522,0.4201522702625466,0.1710997838547569,0.8577517012592287,0.14475169717738812,0,0.3608673321033456,0,0.0005859375,69400.0,0.0,154,0.43554610042327496,95062.0,25752.0,332,0.3718312930301133,67667.0,9708.0,333,0.5228151782643695,110496.0,49208.0,332,0.6032813182788522,128437.0,77880.0,333,0.4370043066401191,77444.0,18596.0,331,0.4968014509930399,61270.0,24134.0,333,0.49335257697060353,66052.0,25562.0,331
34,686987.0,395653.0,291334.0,4171,2469,1702,0.4240749824960291,0.6225715146925819,0.43539336386421446,0.192120200893188,0.8370255140725565,0.20302876910334522,0,0.3822513558247021,0,0.0,58108.0,0.0,140,0.5104568061969015,106763.0,44938.0,335,0.4633944356564601,75229.0,24584.0,338,0.5748499264844991,113624.0,62448.0,337,0.6225715146925819,136021.0,87753.0,337,0.3552754459733245,58225.0,6488.0,336,0.3465593383085257,40413.0,4000.0,328,0.6100394436014227,98604.0,61123.0,338
35,687835.0,415298.0,272537.0,3810,2358,1452,0.3962243852086614,0.6160437945174408,0.4125425488067205,0.18592890137099238,0.8311711145494106,0.23808598719169538,0,0.3869253074381797,0,0.005615234375,72496.0,0.0,213,0.5453779298098691,119705.0,58781.0,340,0.4074262835245988,63088.0,14220.0,333,0.5810778889536135,127888.0,71868.0,333,0.6160437945174408,145589.0,92025.0,337,0.3953407102151262,65496.0,12604.0,333,0.27392578125,29602.0,0.0,333,0.4755327678081154,63971.0,23039.0,341
36,696175.0,446900.0,249275.0,3873,2634,1239,0.35806370524652514,0.6059340721973878,0.40178126623496385,0.18146790550508105,0.8305679855638074,0.20292149962293937,0,0.36433142354612413,0,0.00556640625,71708.0,0.0,262,0.6059340721973878,133815.0,81851.0,336,0.4952523451541062,80122.0,32180.0,336,0.5108690504380754,118244.0,49868.0,335,0.5655591696392313,125041.0,66668.0,330,0.3345204020695517,48679.0,4188.0,335,0.288818359375,49227.0,0.0,329,0.40773032475635856,69339.0,14520.0,330
37,730081.0,458096.0,271985.0,4279,2830,1449,0.37254085505580836,0.600917194863021,0.4304348509027679,0.17423944561904808,0.8592084344601822,0.15805352419799967,0,0.37394154052403084,0,0.006396484375,80392.0,0.0,292,0.5580225158823217,106019.0,54928.0,338,0.4210753713118007,75240.0,17661.0,328,0.5316233817002516,116712.0,54340.0,335,0.600917194863021,142127.0,85412.0,328,0.390750179395831,63723.0,10875.0,335,0.5066985583672378,84054.0,32909.0,332,0.4279951213266796,61814.0,15860.0,336
38,743600.0,425712.0,317888.0,4359,2580,1779,0.4274986551909623,0.637471212508739,0.4616140268067862,0.1815278707690356,0.8660689958088453,0.15865283754706816,0,0.38991155372600966,0,0.00043945312499999996,78140.0,0.0,275,0.5004309719178355,99358.0,39693.0,330,0.44617193148008916,71928.0,21112.0,327,0.5100249198183836,121521.0,50855.0,335,0.637471212508739,152298.0,102837.0,334,0.5394890366670811,79840.0,38265.0,334,0.5113246853825361,62206.0,26346.0,332,0.547560003554625,78309.0,38780.0,338
39,709227.0,415580.0,293647.0,4296,2675,1621,0.41403810063632596,0.6459367820546338,0.45485662992980747,0.18048202867456514,0.863974645294393,0.1429646290961848,0,0.3630191221033692,0,0.012890625,76328.0,0.0,288,0.5820475705290874,102440.0,58026.0,331,0.4120109373987492,73303.0,16400.0,334,0.4827039557968662,114743.0,41928.0,339,0.6459367820546338,130785.0,90525.0,333,0.4602993263303504,63470.0,20336.0,333,0.4985877817287587,65501.0,26009.0,333,0.5443760606000143,82657.0,40423.0,335
40,667906.0,406908.0,260998.0,3822,2403,1419,0.3907705575335445,0.6572786810080574,0.41806612090372375,0.18876953922902837,0.8306478134407549,0.1958273319898307,0,0.39926924977744355,0,0.000146484375,69428.0,0.0,281,0.41839141483437936,82135.0,20916.0,331,0.41053895910876603,72540.0,16122.0,335,0.5622691525656205,112994.0,60329.0,337,0.6572786810080574,151587.0,108288.0,335,0.3225976289741748,44396.0,3008.0,332,0.5697740790514152,73266.0,39552.0,335,0.40353256731237647,61560.0,12783.0,335
41,709347.0,459398.0,249949.0,4069,2530,1539,0.3523649215405149,0.638735902614687,0.39951278390438405,0.1949736093746534,0.8076423776591776,0.2124360503392555,0,0.39975290108193673,0,0.005517578125,74543.0,0.0,226,0.3236702541709103,90328.0,3200.0,329,0.5509253227723641,91173.0,45684.0,332,0.4645303045720096,120006.0,38915.0,337,0.638735902614687,155420.0,105748.0,332,0.27817382812499997,40848.0,0.0,333,0.599271067650031,87105.0,52119.0,328,0.33527801320507084,49924.0,4283.0,328
