epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
20,183659.0,183659.0,0.0,142,142,0,0.0,0.000390625,0.0001708984375,0.00014024811148774486,0.5999898789503031,0.2240504140826196,0,0,0.0,0,0,0,0,2656,617448.0,47072.0,0.0,24635.0,0.0,17,0.000244140625,21954.0,0.0,17,0.0,20233.0,0.0,17,0.000244140625,23468.0,0.0,16,0.000390625,35768.0,0.0,27,0.0,314.0,0.0,2,0.000244140625,34659.0,0.0,26,0.000244140625,22628.0,0.0,15
21,189147.0,189147.0,0.0,154,154,0,0.0,0.0006347656249999999,0.000323486328125,0.0001858317547319132,0.7523697024013306,0.183496830507488,0,0,0.0,0,0,0,0,2553,611149.0,45536.0,0.00048828125,21256.0,0.0,14,0.000146484375,19884.0,0.0,16,0.000244140625,22628.0,0.0,15,0.000390625,29783.0,0.0,22,0.00029296875,35454.0,0.0,29,0.0,7576.0,0.0,10,0.0006347656249999999,31049.0,0.0,23,0.000390625,21517.0,0.0,18
22,186963.0,186963.0,0.0,144,144,0,0.0,0.0005371093749999999,0.000311279296875,0.00015997732448829537,0.7915920637202767,0.23942638382995485,0,0,0.0,0,0,0,0,2708,626380.0,50132.0,0.00029296875,24197.0,0.0,20,0.000390625,19884.0,0.0,15,0.000390625,21256.0,0.0,15,0.000146484375,27740.0,0.0,24,0.0005371093749999999,38529.0,0.0,27,0.0,0.0,0.0,0,0.00043945312499999996,33256.0,0.0,24,0.00029296875,22101.0,0.0,17
23,173816.0,173816.0,0.0,128,128,0,0.0,0.00029296875,0.000164794921875,0.00011434932858395503,0.676782511806857,0.2268533966953552,0,0,0.0,0,0,0,0,2869,620636.0,49981.0,0.0,18377.0,0.0,17,0.00029296875,22896.0,0.0,17,0.00029296875,22628.0,0.0,16,0.000146484375,24510.0,0.0,17,0.00029296875,33772.0,0.0,26,0.0,249.0,0.0,1,0.000146484375,31628.0,0.0,24,0.000146484375,19756.0,0.0,16
24,167897.0,167897.0,0.0,132,132,0,0.0,0.000146484375,1.8310546875e-05,4.844515340084089e-05,0.13639307048725063,0.2129720900313874,0,0,0.0,0,0,0,0,2805,592760.0,45428.0,0.0,20788.0,0.0,17,0.0,21096.0,0.0,19,0.0,16884.0,0.0,16,0.0,24845.0,0.0,18,0.0,30780.0,0.0,25,0.0,760.0,0.0,1,0.000146484375,29130.0,0.0,24,0.0,23614.0,0.0,20
25,185814.0,185814.0,0.0,151,151,0,0.0,0.000244140625,9.1552734375e-05,0.00011819407184470877,0.3798613122709394,0.24381908790510853,0,0,0.0,0,0,0,0,2681,601622.0,45812.0,0.0,20802.0,0.0,18,0.000244140625,21055.0,0.0,16,0.0,21256.0,0.0,16,0.0,21256.0,0.0,16,0.000244140625,38644.0,0.0,29,0.0,105.0,0.0,1,0.0,35877.0,0.0,28,0.000244140625,26819.0,0.0,25
26,181654.0,181654.0,0.0,150,150,0,0.0,0.00048828125,0.00023193359375,0.00019946453415976796,0.5766025342240731,0.21572880310920683,0,0,0.0,0,0,0,0,2608,636490.0,54112.0,0.00048828125,21617.0,0.0,15,0.0,20850.0,0.0,18,0.0,19781.0,0.0,19,0.000244140625,19884.0,0.0,15,0.000390625,34143.0,0.0,25,0.000244140625,3407.0,0.0,4,0.00048828125,34628.0,0.0,22,0.0,27344.0,0.0,27
27,194218.0,194218.0,0.0,148,148,0,0.0,0.0005371093749999999,0.00035400390625,0.00018064756575865163,0.7938774668104236,0.19938934599264657,0,0,0.0,0,0,0,0,2729,629641.0,50380.0,0.000146484375,30275.0,0.0,24,0.00048828125,23295.0,0.0,16,0.00048828125,22803.0,0.0,15,0.000390625,24128.0,0.0,16,0.00029296875,32316.0,0.0,26,0.0,1572.0,0.0,6,0.0005371093749999999,36000.0,0.0,23,0.00048828125,23829.0,0.0,16
28,189124.0,189124.0,0.0,145,145,0,0.0,0.0005371093749999999,0.00031738281249999996,0.00014648437499999997,0.8249334052637413,0.1858978765254533,0,0,0.0,0,0,0,0,2625,623720.0,48088.0,0.000390625,24000.0,0.0,15,0.00029296875,24947.0,0.0,22,0.00029296875,24000.0,0.0,16,0.00029296875,22348.0,0.0,18,0.0005371093749999999,33435.0,0.0,24,0.0,3638.0,0.0,6,0.00043945312499999996,34628.0,0.0,24,0.00029296875,22128.0,0.0,18
29,160578.0,160578.0,0.0,126,126,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.23569075464883005,0,0,0.0,0,0,0,0,2647,551187.0,46752.0,0.0,18256.0,0.0,16,0.0,21974.0,0.0,19,0.0,18747.0,0.0,17,0.0,21942.0,0.0,18,0.0,32120.0,0.0,31,0.0,0.0,0.0,0,0.0,30128.0,0.0,24,0.0,17411.0,0.0,17
