epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
20,51279.0,51279.0,0.0,40,40,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.8057172526765295,40,10850.359648992959,8050.70628634654,23403.880109114012,24499.995123692413,24921.855766085217,24968.72917079553,0,0,0.0,0,0,0,0,40,51279.0,1500.0,0.0,183.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,714.0,0.0,1,0.0,0.0,0.0,0,0.0,40743.0,0.0,28,0.0,7941.0,0.0,6,0.0,1698.0,0.0,4
21,33761.0,33761.0,0.0,31,31,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.812020526643161,31,4901.848549914816,3267.3978074006736,11951.159011350945,12810.710938388853,13059.738589126468,13087.408328097314,0,0,0.0,0,0,0,0,31,33761.0,1500.0,0.0,25670.0,0.0,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,7756.0,0.0,7,0.0,0.0,0.0,0,0.0,256.0,0.0,1,0.0,79.0,0.0,1,0.0,0.0,0.0,0
22,21857.0,21857.0,0.0,22,22,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.7166525598206419,22,3089.4561801220884,2375.7372168898582,5864.219052703865,6562.898425658755,6724.329835138615,6742.266658414155,0,0,0.0,0,0,0,0,22,21857.0,1500.0,0.0,2746.0,0.0,4,0.0,551.0,0.0,1,0.0,0.0,0.0,0,0.0,4207.0,0.0,5,0.0,0.0,0.0,0,0.0,647.0,0.0,1,0.0,0.0,0.0,0,0.0,13706.0,0.0,11
23,84365.0,84365.0,0.0,63,63,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.7787693356249601,63,15518.694853306408,12142.676551762968,37788.10591644943,40936.60603738428,41482.28225393206,41542.91294465959,0,0,0.0,0,0,0,0,63,84365.0,1500.0,0.0,1014.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,62871.0,0.0,45,0.0,955.0,0.0,1,0.0,0.0,0.0,0,0.0,13438.0,0.0,9,0.0,6087.0,0.0,5
24,945901.0,945901.0,0.0,642,642,0,0.0,0.0712890625,0.010894775390625,0.023410443742610868,0.17804778343909677,0.7986585012596454,642,237234.335058319,167363.78447218053,588139.4475554089,608196.2803858509,614389.7445223606,614981.9438064583,0,0,0.0,0,0,0,0,642,945901.0,1500.0,0.0,1940.0,0.0,5,0.015869140625,215216.0,0.0,81,0.0,2991.0,0.0,2,0.0,3864.0,0.0,4,0.0,0.0,0.0,0,0.0,143.0,0.0,1,0.0712890625,701989.0,0.0,178,0.0,19758.0,0.0,14
25,729047.0,729047.0,0.0,495,495,0,0.0,0.038671875,0.004833984375,0.012789520497821996,0.12504524558384442,0.850748820034922,495,746629.4333936817,787556.5523820817,983396.5308195713,1000139.1335183261,1003311.2338554773,1003684.0978351086,0,0,0.0,0,0,0,0,495,729047.0,1500.0,0.0,1268.0,0.0,2,0.0,45263.0,0.0,96,0.0,0.0,0.0,0,0.0,3248.0,0.0,6,0.0,445.0,0.0,1,0.0,798.0,0.0,1,0.038671875,675615.0,0.0,479,0.0,2410.0,0.0,3
26,1200071.0,1200071.0,0.0,809,809,0,0.0,0.075927734375,0.009979248046875,0.024958957569714797,0.1378484987216756,0.8395625133846243,809,291760.24567929475,282346.83260891587,610328.7668159938,639334.0828972899,644616.3778795627,645835.5012246594,0,0,0.0,0,0,0,0,809,1200071.0,1500.0,0.0,1558.0,0.0,4,0.0,7562.0,0.0,6,0.0,38155.0,0.0,26,0.00390625,59286.0,0.0,24,0.0,0.0,0.0,0,0.075927734375,1092415.0,0.0,419,0.0,121.0,0.0,265,0.0,974.0,0.0,2
27,243400.0,243400.0,0.0,169,169,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.7500605998356606,169,199917.2593610732,91295.41554535553,672713.156019368,677561.0547151432,679417.0726071019,679642.01062629,0,0,0.0,0,0,0,0,169,243400.0,1500.0,0.0,12139.0,0.0,11,0.0,11611.0,0.0,9,0.0,0.0,0.0,0,0.0,160636.0,0.0,124,0.0,0.0,0.0,0,0.0,57842.0,0.0,350,0.0,0.0,0.0,0,0.0,1172.0,0.0,2
28,8776.0,8776.0,0.0,13,13,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.7317684594347957,13,2555.779018795261,2323.9335329420865,3904.5946258269237,4321.245920639484,4414.992461972311,4425.408744342625,0,0,0.0,0,0,0,0,13,8776.0,1500.0,0.0,1779.0,0.0,3,0.0,340.0,0.0,1,0.0,6006.0,0.0,5,0.0,88.0,0.0,1,0.0,0.0,0.0,0,0.0,176.0,0.0,1,0.0,299.0,0.0,1,0.0,88.0,0.0,1
29,21441.0,21441.0,0.0,19,19,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.7867345273074839,19,4361.771607496236,3333.106529187411,10253.399552115796,11092.908901433944,11281.798505030527,11302.786238763481,0,0,0.0,0,0,0,0,19,21441.0,1500.0,0.0,250.0,0.0,1,0.0,15642.0,0.0,12,0.0,815.0,0.0,1,0.0,4582.0,0.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,152.0,0.0,1,0.0,0.0,0.0,0
