epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
22,442913.0,391479.0,51434.0,2581,2217,364,0.1161266433814313,0.47150770406213965,0.26030123823178974,0.16042847442926447,0.7247172315705935,0.2631185469832673,0,0.0,0,0.4066948376801335,25536.0,5696.0,249,0.37426389298348367,13568.0,2528.0,251,0.074462890625,43401.0,0.0,252,0.067431640625,98456.0,0.0,248,0.41588097112856126,67077.0,16273.0,250,0.47150770406213965,78530.0,26937.0,249,0.130078125,59220.0,0.0,251,0.14208984374999997,57125.0,0.0,247
23,530683.0,470737.0,59946.0,3287,2853,434,0.11296009105247366,0.47915486165957044,0.28240834155229916,0.15562512071336643,0.7670642676490942,0.26297078481880876,0,0.0,0,0.46487679158834166,38304.0,12384.0,251,0.2794921875,22720.0,0.0,252,0.0876953125,55138.0,0.0,248,0.0892578125,139392.0,0.0,249,0.46162179792048114,54849.0,17360.0,248,0.47915486165957044,82934.0,30202.0,252,0.21181640624999998,79459.0,0.0,248,0.1853515625,57887.0,0.0,249
24,507289.0,399654.0,107635.0,2901,2026,875,0.21217688536514648,0.6127068230511827,0.3199348615200298,0.20725733108754898,0.7043944433174155,0.2962919065857921,2,0.0,0,0.5696244745238911,19744.0,11584.0,252,0.3073831661846076,31808.0,128.0,248,0.11181640625,121895.0,0.0,251,0.076025390625,77235.0,0.0,251,0.539735131525557,59152.0,29748.0,251,0.6127068230511827,106475.0,66175.0,249,0.17216796875,42912.0,0.0,249,0.17001953125,48068.0,0.0,251
25,504933.0,474273.0,30660.0,2441,2199,242,0.060720927330952704,0.5454132355011215,0.26027463620847313,0.14097674662470602,0.7731676684264865,0.32183997678899945,0,0.0,0,0.292626953125,29536.0,0.0,246,0.3558268229166637,22560.0,3008.0,251,0.131298828125,128581.0,0.0,246,0.05859375,87095.0,0.0,253,0.2666015625,27372.0,0.0,242,0.5454132355011215,55056.0,27652.0,249,0.271728515625,103629.0,0.0,251,0.160107421875,51104.0,0.0,251
26,451656.0,417723.0,33933.0,2910,2609,301,0.0751301875763854,0.46470213792175,0.2623321637072173,0.12953060491160082,0.8039848750147188,0.2793132383938215,0,0.0,0,0.278466796875,18496.0,0.0,253,0.27568359375,14656.0,0.0,251,0.130712890625,78733.0,0.0,255,0.03076171875,46653.0,0.0,248,0.46470213792175,89152.0,25397.0,252,0.345533839747138,43344.0,4252.0,253,0.3694760194888501,89734.0,4284.0,251,0.2033203125,70888.0,0.0,249
27,461125.0,372309.0,88816.0,2432,1740,692,0.19260721062618555,0.6194099605666676,0.29492866462189654,0.17841833931184317,0.7320807114952002,0.35714421252371875,10,0.0,0,0.260302734375,11232.0,0.0,250,0.24697265624999998,4544.0,0.0,249,0.12900390625,63265.0,0.0,248,0.056640625,127433.0,0.0,251,0.4960296782214202,75611.0,29644.0,249,0.3764603813120845,45300.0,6684.0,252,0.6194099605666676,82164.0,52488.0,247,0.17460937499999998,51576.0,0.0,244
28,515123.0,427115.0,88008.0,2638,1972,666,0.17084851579137378,0.5864281870936763,0.2990425058283823,0.18004696868233191,0.7339459565200354,0.22721587853774694,2,0.0,0,0.249755859375,36996.0,0.0,248,0.240234375,20256.0,0.0,252,0.16044921875,99061.0,0.0,249,0.04306640625,98026.0,0.0,253,0.36489468666775265,55948.0,8458.0,249,0.5864281870936763,81832.0,46862.0,252,0.5616714697406298,62460.0,32688.0,249,0.18583984374999998,60544.0,0.0,252
29,680145.0,581252.0,98893.0,3969,3214,755,0.14539987796719794,0.6093037799359124,0.3353999520014882,0.1657200567315477,0.8037734344043381,0.16278642789405184,1,0.0,0,0.270751953125,50812.0,0.0,249,0.37204798695612046,65088.0,4224.0,253,0.264794921875,135508.0,0.0,254,0.039257812499999996,108958.0,0.0,251,0.3714810782116952,76957.0,11032.0,254,0.5219683334081779,91854.0,40885.0,253,0.6093037799359124,69012.0,42752.0,250,0.23359375,81956.0,0.0,252
30,506368.0,497512.0,8856.0,2290,2218,72,0.0174892568250758,0.3523475060096114,0.2757942529830847,0.09937129178436467,0.8850944361414039,0.37815679505813926,0,0.0,0,0.25166015625,36110.0,0.0,252,0.3523475060096114,16640.0,2176.0,251,0.344775390625,152373.0,0.0,250,0.03251953125,113418.0,0.0,248,0.33787861214209847,37720.0,3388.0,252,0.28110351562499997,47040.0,0.0,251,0.34332517133796775,24440.0,3292.0,251,0.26274414062499996,78627.0,0.0,249
31,449100.0,397150.0,51950.0,2168,1862,306,0.11567579603651723,0.5123974109513879,0.2727105650407985,0.12220418813451321,0.8327766902520961,0.4011094411044307,0,0.0,0,0.23012695312499998,11104.0,0.0,250,0.277001953125,16870.0,0.0,252,0.5123974109513879,124644.0,51950.0,249,0.032373046875,105923.0,0.0,251,0.269677734375,24148.0,0.0,251,0.2654296875,39992.0,0.0,250,0.27333984375,36436.0,0.0,249,0.32133789062499996,89983.0,0.0,247
