epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
20,671360.0,199340.0,472020.0,3609,2451,1158,0.7030803145853183,0.4869038436869424,0.40751015349359143,0.04439015021600747,0.9882733637223774,0.14898750297902752,0,0.27101027388448024,1158,0.41155013465502177,48901.0,39749.0,142,0.3479816165339452,76792.0,42968.0,326,0.3734884704729695,82461.0,55581.0,334,0.4024441182923127,103128.0,76984.0,229,0.38238477007629296,78541.0,58317.0,320,0.38720572232350414,113404.0,76636.0,306,0.4869038436869424,57492.0,35572.0,333,0.4681225519077431,110641.0,86213.0,331
21,701060.0,199680.0,501380.0,3928,2510,1418,0.7151741648361043,0.48543741027429854,0.41066701659667426,0.03941952875031616,0.9908702267094122,0.13109969189512993,0,0.2785529912702541,1418,0.3510672403405964,56501.0,38485.0,206,0.374191351826311,78091.0,46347.0,339,0.3973873837346594,91285.0,66293.0,328,0.4048448894773142,118064.0,89104.0,330,0.40411092290569783,85409.0,64417.0,203,0.41679926625442587,99892.0,78324.0,339,0.48543741027429854,62604.0,39340.0,332,0.45149766796009105,109214.0,79070.0,330
22,669309.0,198716.0,470593.0,3627,2446,1181,0.7031027522414898,0.4713585296989757,0.40081192260461107,0.04066356451530736,0.9898121530041147,0.1469543588985056,0,0.2846072063527639,1181,0.34493593019420465,62397.0,42333.0,265,0.384855767523393,54997.0,36193.0,341,0.37873319343057943,78170.0,55066.0,333,0.39750686124052803,116170.0,82986.0,332,0.3753567490281063,92796.0,64380.0,312,0.3924517033651804,84245.0,62965.0,308,0.4612966463559208,64562.0,37138.0,332,0.4713585296989757,115972.0,89532.0,326
23,698063.0,199365.0,498698.0,4074,2535,1539,0.7144025682495695,0.4965051634006401,0.40970254355811836,0.04501573013717895,0.9880716677716065,0.15486012723779918,0,0.28771949862048124,1539,0.3606052361605414,71713.0,49185.0,235,0.3789518415607274,71585.0,46369.0,328,0.37987994296231253,87071.0,61791.0,332,0.4299811180309022,133110.0,95478.0,335,0.3730676652260931,78716.0,55804.0,334,0.39842386198625,99210.0,75829.0,312,0.4965051634006401,48597.0,33365.0,332,0.4602055191374802,108061.0,80877.0,333
24,701328.0,199280.0,502048.0,4124,2514,1610,0.7158533524969761,0.4819631935762365,0.4102636623920439,0.04449823446132257,0.9883726650346951,0.1428058625921107,0,0.2974694279155807,1610,0.3508199517744735,72391.0,49223.0,306,0.3564023958794684,53053.0,33309.0,338,0.3892784584824576,81061.0,60997.0,331,0.4353463940318338,116457.0,83145.0,328,0.38754055236481255,111371.0,74347.0,332,0.41957558179425747,91546.0,73978.0,231,0.4819631935762365,64889.0,43956.0,332,0.4611827712328113,110560.0,83093.0,339
25,746972.0,199476.0,547496.0,4441,2579,1862,0.7329538456595418,0.48352128500974356,0.41997899461861904,0.043081447526364725,0.9895869157284546,0.09843842874967179,0,0.33552264697077944,1862,0.3741254884964526,86218.0,60286.0,269,0.36808566892422817,70649.0,46649.0,338,0.39896222440688556,86783.0,65119.0,236,0.46053473098774106,121065.0,90583.0,334,0.4023672678945326,86196.0,63380.0,330,0.3967638172650715,90758.0,70982.0,316,0.47547147396429756,81159.0,52497.0,334,0.48352128500974356,124144.0,98000.0,335
26,740057.0,199490.0,540567.0,4318,2556,1762,0.730439682348791,0.48081222450581196,0.4191182055264601,0.046228389320405225,0.9879803237300889,0.0994340638626483,0,0.31325534320240583,1762,0.3633760132501037,87175.0,58119.0,332,0.35936623679840474,70162.0,45330.0,333,0.3862706779850362,106280.0,74280.0,336,0.4689221616602774,108578.0,86306.0,338,0.40379414421445364,94243.0,70339.0,332,0.41820291920189595,76351.0,63167.0,180,0.4722012665956973,78809.0,49207.0,333,0.48081222450581196,118459.0,93819.0,330
27,731613.0,199328.0,532285.0,4262,2530,1732,0.7275499478549441,0.49067458551989573,0.42126750898567694,0.04912075335492467,0.9865862816374165,0.10964591252479083,0,0.32369896036401524,1732,0.3798848089195939,75428.0,55076.0,335,0.347887804415325,69924.0,43332.0,334,0.3898989603059988,106666.0,71178.0,336,0.47680772903993135,96004.0,81988.0,333,0.39507823266745284,73287.0,55847.0,332,0.4174616254460577,97380.0,77092.0,187,0.49067458551989573,86001.0,54641.0,328,0.4724463255711603,126923.0,93131.0,338
28,727857.0,199104.0,528753.0,4159,2487,1672,0.7264517618158501,0.4941612190673833,0.41800197554391616,0.04567636184890392,0.9882002903399036,0.09799950402345492,0,0.29547836572778363,1672,0.3637433652487474,76213.0,51477.0,254,0.3794656243341267,66877.0,47581.0,335,0.4096224771065994,97408.0,71040.0,333,0.42391020871659674,111976.0,81704.0,339,0.3801419173792816,86009.0,63577.0,305,0.40586386652349077,102950.0,76198.0,243,0.4941612190673833,77045.0,50421.0,336,0.4871071259751035,109379.0,86755.0,336
29,660112.0,199525.0,460587.0,3775,2479,1296,0.6977406864289685,0.47771984215700725,0.40595321264530015,0.049991487818585555,0.9850616180572388,0.13193708037423924,0,0.2995030335418851,1296,0.37193740919669893,59452.0,42396.0,255,0.3192163659470504,67768.0,39321.0,331,0.4216221178918353,62991.0,50607.0,329,0.42584869517312307,111436.0,78597.0,335,0.3748762865175622,69639.0,50029.0,229,0.3859816132203005,102101.0,71380.0,334,0.47771984215700725,79793.0,46541.0,331,0.4704233710588235,106932.0,81716.0,330
30,645963.0,198872.0,447091.0,3394,2399,995,0.6921309734458464,0.4612663756374076,0.3981194500072365,0.05607817595999103,0.9805451201949212,0.1244504329195324,0,0.27616759438655775,995,0.38648893481169666,60453.0,45861.0,233,0.2852783989768278,68589.0,31987.0,334,0.3783702890650031,71641.0,51737.0,261,0.45433266424651286,90557.0,73982.0,337,0.3575787892850178,95321.0,60313.0,314,0.40879705142863354,94430.0,72862.0,334,0.4612663756374076,55890.0,32370.0,331,0.4528430966067925,109082.0,77979.0,334
31,713696.0,198860.0,514836.0,4067,2467,1600,0.7213659597363573,0.4917104755895581,0.41570063963683745,0.04553684380093655,0.9881427451001473,0.13151853169977112,0,0.3132650174127042,1600,0.3783219351963918,62348.0,45580.0,184,0.37009160422116355,68614.0,45862.0,331,0.3717801387519282,82143.0,58768.0,317,0.4288189695871996,131390.0,90436.0,329,0.399434155187724,79473.0,61230.0,335,0.40084449982601383,99148.0,75884.0,318,0.4917104755895581,80563.0,48851.0,336,0.4846033387347203,110017.0,88225.0,333
32,736522.0,198944.0,537578.0,4321,2517,1804,0.7298872267223507,0.5047002361648104,0.4223653002419073,0.04593109989242453,0.9883122367920745,0.10110695946624793,0,0.30730375112430725,1804,0.39816663022636123,83184.0,61360.0,197,0.3570556266057105,72349.0,46557.0,335,0.38551712393866044,94692.0,68868.0,284,0.45852826877688174,118793.0,91817.0,334,0.41830284481358815,72969.0,59785.0,207,0.3930111870163077,107281.0,78385.0,325,0.5047002361648104,79268.0,48484.0,327,0.4636404843929386,107986.0,82322.0,328
