epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
20,189262.0,512.0,188750.0,142,4,138,0.9972947554184095,0.4999999999999886,0.4357586014729871,0.1647165667053537,0.874980185164756,0.34787226173241237,0,0,0.0,0,0,0,138,2455,199852.0,65535.0,0.4967803748621463,36954.0,36698.0,1,0.4999999999999886,43884.0,43884.0,0,0.0,0.0,0.0,0,0.49503298408998875,12885.0,12757.0,1,0.49999999999996353,13706.0,13706.0,0,0.4999999999999862,36064.0,36064.0,0,0.4999999999999856,34628.0,34628.0,0,0.49425545283183786,11141.0,11013.0,2
21,195627.0,539.0,195088.0,150,4,146,0.9972447566031223,0.49999999999998995,0.4353638710525223,0.1645843300546677,0.8749576229271097,0.3697770502026807,0,0,0.0,0,0,0,146,2514,200219.0,65536.0,0.4982033574757033,35622.0,35494.0,2,0.49999999999998995,49726.0,49726.0,0,0.0,0.0,0.0,0,0.49999999999995653,11503.0,11503.0,0,0.4905523598030486,14600.0,14317.0,1,0.49999999999998707,38598.0,38598.0,0,0.4999999999999856,34628.0,34628.0,0,0.4941552511415074,10950.0,10822.0,1
22,184638.0,1174.0,183464.0,142,6,136,0.9936416122358291,0.4999999999999578,0.496205295042654,0.006705075354184026,0.9998174400970476,0.3146562462764968,0,0,0.0,0,0,0,136,2452,199890.0,65536.0,0.49807553524174597,33256.0,33128.0,1,0.4985530837402673,44232.0,44104.0,1,0.49999999999991895,6174.0,6174.0,0,0.4999999999999578,11863.0,11863.0,0,0.4788128868433202,12602.0,12068.0,2,0.4983959253079012,34628.0,34500.0,0,0.49580492920816416,30512.0,30256.0,2,0.49999999999995604,11371.0,11371.0,0
23,164669.0,510.0,164159.0,130,3,127,0.9969028778944368,0.4999999999999875,0.49896452492021515,0.0017985716519727242,0.9999870069052973,0.3620452240555285,0,0,0.0,0,0,0,127,2538,199875.0,65536.0,0.49558803253824296,29012.0,28756.0,2,0.4999999999999875,39889.0,39889.0,0,0.4999999999994924,985.0,985.0,0,0.49999999999995703,11643.0,11643.0,0,0.4999999999999355,7756.0,7756.0,0,0.4961281668241671,32801.0,32547.0,2,0.4999999999999842,31628.0,31628.0,0,0.4999999999999543,10955.0,10955.0,0
24,174558.0,917.0,173641.0,141,6,135,0.9947467317453168,0.49999999999998496,0.4342478678745444,0.16416490764856068,0.8749543321393786,0.34001735812738354,0,0,0.0,0,0,0,135,2520,200197.0,65536.0,0.49999999999998385,30953.0,30953.0,0,0.4971742281654606,41695.0,41439.0,1,0.0,0.0,0.0,0,0.4946496870280413,14568.0,14405.0,0,0.4888684452621445,10870.0,10628.0,1,0.4981697208142747,30852.0,30724.0,0,0.49999999999998496,33128.0,33128.0,0,0.49512086172646536,12492.0,12364.0,0
25,181543.0,558.0,180985.0,137,4,133,0.9969263480277345,0.4999999999999856,0.4950820449203255,0.011057107849021173,0.999501445981317,0.34811793900067656,0,0,0.0,0,0,0,133,2583,200034.0,65536.0,0.4999999999999856,34628.0,34628.0,0,0.49858582287430403,45256.0,45128.0,2,0.46590909090890836,2552.0,2378.0,1,0.4999999999999592,12262.0,12262.0,1,0.4999999999999529,10628.0,10628.0,0,0.4980096608966354,29951.0,29823.0,1,0.4981517846829012,34628.0,34500.0,1,0.49999999999995703,11638.0,11638.0,1
26,184110.0,384.0,183726.0,139,3,136,0.9979142903698822,0.499999999999989,0.4992622523514465,0.0019518968081373388,0.9999847154946765,0.33902422464830706,0,0,0.0,0,0,0,136,2559,199874.0,65536.0,0.49999999999998507,33345.0,33345.0,0,0.499999999999989,45256.0,45256.0,0,0.4999999999994726,948.0,948.0,0,0.4999999999999596,12380.0,12380.0,0,0.49999999999996086,12780.0,12780.0,0,0.49409801881225435,30512.0,30128.0,2,0.4999999999999856,34628.0,34628.0,0,0.4999999999999649,14261.0,14261.0,0
27,181773.0,768.0,181005.0,146,6,140,0.9957749500750882,0.49999999999998945,0.49840974185698406,0.0027574842090084995,0.999969391600399,0.33631301128330304,0,0,0.0,0,0,0,140,2536,200096.0,65536.0,0.49389939998711413,29140.0,28756.0,1,0.49999999999998945,47308.0,47308.0,0,0.4999999999996372,1378.0,1378.0,0,0.49999999999996225,13243.0,13243.0,0,0.499999999999973,18553.0,18553.0,0,0.49337853486925626,27768.0,27384.0,3,0.499999999999985,33256.0,33256.0,0,0.49999999999995504,11127.0,11127.0,0
28,183416.0,734.0,182682.0,143,6,137,0.9959981680987429,0.4999999999999856,0.4979886030749443,0.002290005496145728,0.9999788540913176,0.342013510271731,0,0,0.0,0,0,0,137,2493,199838.0,65536.0,0.4999999999999856,34628.0,34628.0,2,0.4973413171756181,44095.0,43839.0,1,0.4999999999997525,2020.0,2020.0,0,0.49725031936246755,15699.0,15605.0,0,0.4935122588536217,9507.0,9379.0,0,0.4999999999999856,34628.0,34628.0,2,0.49580492920816416,30512.0,30256.0,2,0.4999999999999594,12327.0,12327.0,0
29,168517.0,636.0,167881.0,131,5,126,0.9962259000575551,0.4999999999999841,0.4983923659465237,0.002438500292603563,0.9999760616834309,0.3147048962419212,0,0,0.0,0,0,0,126,2484,200161.0,65536.0,0.4999999999999826,28756.0,28756.0,0,0.49834184003936843,38597.0,38469.0,2,0.4999999999995192,1040.0,1040.0,0,0.4932272092514144,18210.0,17958.0,2,0.49999999999995554,11243.0,11243.0,1,0.4955698782820079,27384.0,27128.0,1,0.4999999999999841,31500.0,31500.0,0,0.49999999999995753,11787.0,11787.0,0
