epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
20,132000.0,132000.0,0.0,88,88,0,0.0,0.001953125,0.000762939453125,0.0005241566173497823,0.6793354376550282,0.10227272727272618,88,2998.239556761477,1449.926155146386,8450.394260072791,8992.944096666126,9212.30846478935,9236.682283469709,0,0.05615049783837595,0,0.00048828125,16500.0,0.0,9,0.001953125,19500.0,0.0,5,0.000732421875,15000.0,0.0,7,0.000244140625,12000.0,0.0,7,0.0009765625,16500.0,0.0,7,0.00048828125,13500.0,0.0,7,0.000244140625,16500.0,0.0,10,0.0009765625,22500.0,0.0,11
21,100500.0,100500.0,0.0,67,67,0,0.0,0.00029296875,7.32421875e-05,0.00010358009490037317,0.3387044913918552,0.17350746268656536,67,1351.3460741320732,1048.6366410943447,4070.7473151341887,4598.529432868767,4674.40328279548,4682.833710565115,0,0.0,0,0.000146484375,18000.0,0.0,13,0.0,12000.0,0.0,16,0.0,12000.0,0.0,11,0.000146484375,6000.0,0.0,4,0.0,12000.0,0.0,12,0.0,9000.0,0.0,8,0.0,12000.0,0.0,9,0.00029296875,19500.0,0.0,15
22,85500.0,85500.0,0.0,57,57,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.23464912280701555,57,925.0481107485514,930.0597251065774,1452.0761452947042,1592.2900345444446,1613.5141880009464,1615.872427273891,0,0.02090365772415669,0,0.0,18000.0,0.0,13,0.0,9000.0,0.0,6,0.0,7500.0,0.0,5,0.0,6000.0,0.0,5,0.0,6000.0,0.0,4,0.0,7500.0,0.0,5,0.0,16500.0,0.0,11,0.0,15000.0,0.0,12
23,123000.0,123000.0,0.0,82,82,0,0.0,0.00048828125,0.000244140625,0.0002114319833458102,0.573097439784811,0.1219512195121939,82,2039.24118398146,1316.1151150148944,5544.6802957797145,6016.153948023517,6117.623343777698,6128.897721083718,0,0.08463618832924494,0,0.00048828125,18000.0,0.0,10,0.000244140625,15000.0,0.0,9,0.0,18000.0,0.0,12,0.0,13500.0,0.0,9,0.00048828125,9000.0,0.0,4,0.000244140625,13500.0,0.0,8,0.0,15000.0,0.0,10,0.00048828125,21000.0,0.0,12
24,72000.0,72000.0,0.0,48,48,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.14583333333333104,48,922.6212475528786,868.1994790036115,1511.18827877515,1777.8740881127458,1822.6582927972445,1827.6343155399663,0,0.0,0,0.0,12000.0,0.0,10,0.0,10500.0,0.0,8,0.0,7500.0,0.0,5,0.0,7500.0,0.0,5,0.0,9000.0,0.0,8,0.0,4500.0,0.0,4,0.0,12000.0,0.0,8,0.0,9000.0,0.0,8
25,207722.0,207722.0,0.0,217,217,0,0.0,0.000244140625,3.0517578125e-05,8.074192233473482e-05,0.1319784818902607,0.1291365382578631,217,8350.197742856588,8188.163350524032,16865.164207090576,17728.18428285743,17784.7491742789,17785.461071645026,0,0.17124038478126538,0,0.0,30566.0,0.0,27,0.0,27742.0,0.0,31,0.0,24634.0,0.0,25,0.0,22089.0,0.0,30,0.0,19633.0,0.0,19,0.0,16560.0,0.0,21,0.000244140625,32672.0,0.0,33,0.0,33826.0,0.0,30
26,97500.0,97500.0,0.0,65,65,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.1326923076923061,65,946.8145104033604,924.3405591533519,1540.9237874675541,1598.789447789304,1617.9667658634708,1620.0975789828226,0,0.0,0,0.0,16500.0,0.0,11,0.0,15000.0,0.0,10,0.0,9000.0,0.0,6,0.0,10500.0,0.0,7,0.0,9000.0,0.0,6,0.0,10500.0,0.0,7,0.0,10500.0,0.0,8,0.0,16500.0,0.0,11
27,162169.0,162169.0,0.0,163,163,0,0.0,0.0029296875,0.00201416015625,0.0007195938795502683,0.8868047886572701,0.1313051507994738,163,5231.198316153222,4788.375752295833,11659.748254189466,12463.677588446071,12728.286753096867,12777.248337868019,0,0.09270962746964605,0,0.001953125,24812.0,0.0,15,0.0029296875,22654.0,0.0,9,0.001953125,20314.0,0.0,14,0.001953125,16672.0,0.0,10,0.00048828125,12187.0,0.0,12,0.001708984375,15993.0,0.0,10,0.002197265625,27399.0,0.0,15,0.0029296875,22138.0,0.0,12
28,102000.0,102000.0,0.0,68,68,0,0.0,0.000146484375,1.8310546875e-05,4.844515340084089e-05,0.13639307048725063,0.1911764705882335,68,2387.1269639304423,1461.4092712493148,5973.816919895675,6388.022240249241,6492.540527615561,6504.153670656262,0,0.01684050665597798,0,0.0,19500.0,0.0,21,0.0,9000.0,0.0,18,0.0,10500.0,0.0,15,0.0,9000.0,0.0,14,0.000146484375,10500.0,0.0,8,0.0,9000.0,0.0,13,0.0,12000.0,0.0,17,0.0,22500.0,0.0,27
29,97963.0,97963.0,0.0,83,83,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.18818456968447106,83,2111.2334828697444,1313.0227710473118,5420.073739905235,5905.1720561131015,5918.463944221215,5919.940820677672,0,0.0,0,0.0,14163.0,0.0,10,0.0,14383.0,0.0,13,0.0,7877.0,0.0,7,0.0,6768.0,0.0,6,0.0,11226.0,0.0,13,0.0,9502.0,0.0,9,0.0,13123.0,0.0,10,0.0,20921.0,0.0,16
