epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
20,721282.0,465817.0,255465.0,4203,2828,1375,0.35418185952235,0.5805614498705863,0.4375617059004345,0.15186746885953026,0.8924888084972402,0.11892262665642539,0,0.32778805037367187,0.5190152801358214,108376.0,47472.0,334,0.39766657488286117,61413.0,11984.0,334,0.5754222072384452,94735.0,52212.0,328,0.5182031247456111,76778.0,33154.0,337,0.142236328125,86691.0,0.0,336,0.5805614498705863,105333.0,58467.0,329,0.24711914062499998,69598.0,0.0,335,0.5202695415801512,118358.0,52176.0,333
21,669559.0,475613.0,193946.0,3573,2670,903,0.2896623001109681,0.6142918774757784,0.39299033386150517,0.1470595572180933,0.8771694815885572,0.17312608000191143,0,0.3389157402756402,0.5446322650035698,124587.0,60956.0,338,0.43987438587789124,58404.0,16424.0,335,0.30148582018515935,60431.0,1472.0,330,0.32374851840682733,52124.0,3224.0,335,0.168359375,85423.0,0.0,334,0.6142918774757784,101988.0,64108.0,333,0.24418945312499998,71830.0,0.0,330,0.5073409758178152,114772.0,47762.0,335
22,731439.0,501946.0,229493.0,4199,2890,1309,0.31375548747058835,0.5859755693855899,0.42025423775914306,0.1460050482849785,0.8922985104289742,0.12121021028411105,0,0.36107814730789933,0.49399396611742685,107725.0,41796.0,337,0.5859755693855899,86848.0,49588.0,334,0.298583984375,67447.0,0.0,329,0.4817328887176762,72746.0,25780.0,334,0.161865234375,83565.0,0.0,329,0.48663847263504045,85834.0,32065.0,326,0.27202148437499996,85013.0,0.0,329,0.581222302092411,142261.0,80264.0,336
23,732085.0,472720.0,259365.0,4479,2916,1563,0.35428263111523883,0.6199283654388867,0.45361326002972113,0.1390255336467231,0.9141328632818667,0.09078505228218026,0,0.37760973633650496,0.538760682644569,100210.0,48146.0,336,0.6199283654388867,97439.0,62347.0,333,0.5468699802604639,88615.0,43147.0,331,0.5129525751508178,71028.0,30272.0,332,0.18427734375,81931.0,0.0,334,0.40126380955916446,81652.0,16776.0,337,0.2923828125,84688.0,0.0,327,0.5324705109338674,126522.0,58677.0,330
24,697839.0,448010.0,249829.0,4132,2657,1475,0.3580037802415738,0.5745171893478429,0.44920689770310007,0.12954334380248583,0.9232209025900117,0.13126684665087485,0,0.3408794505222109,0.5111861541643673,107911.0,45684.0,338,0.5745171893478429,80330.0,44151.0,327,0.4288521363227869,67567.0,17828.0,328,0.507377980494019,67082.0,28766.0,334,0.167578125,69953.0,0.0,328,0.5062580984808621,93647.0,38448.0,334,0.3299053806000225,78772.0,3896.0,332,0.5679801172148995,132577.0,71056.0,332
25,682133.0,434996.0,247137.0,3824,2662,1162,0.3623003138684093,0.58875982060522,0.43551612970704257,0.14121612935459113,0.9048642890155834,0.15845352006133684,0,0.34030308044747126,0.5734200557230589,110900.0,60872.0,340,0.4607170910422531,62252.0,20016.0,329,0.38307923709742503,68947.0,11308.0,331,0.296630859375,56555.0,0.0,337,0.15732421875,67125.0,0.0,335,0.5632869209781806,99327.0,52303.0,334,0.46091083408520306,88252.0,28117.0,333,0.58875982060522,128775.0,74521.0,338
26,711843.0,433694.0,278149.0,4235,2764,1471,0.3907448693040454,0.6274952176624408,0.4605374484515039,0.12555714928892336,0.9308143444549641,0.14989102231812335,0,0.37297543774118413,0.5609920906801877,105544.0,54948.0,334,0.4582031465631087,63404.0,20080.0,328,0.440747639814283,73392.0,20638.0,334,0.4255305328098766,63777.0,15632.0,333,0.17197265625,79909.0,0.0,331,0.5095380368136064,84031.0,35240.0,330,0.48982026701852777,96966.0,36727.0,329,0.6274952176624408,144820.0,94884.0,336
27,750381.0,400159.0,350222.0,4452,2420,2032,0.4667255700770669,0.6582552905262046,0.4785695317719486,0.15492942976746787,0.9051379456283967,0.18947424708248195,0,0.4155686224571071,0.6582552905262046,154616.0,110784.0,335,0.5552218546875557,79481.0,41013.0,333,0.6035004943617839,103590.0,62859.0,336,0.3296277699282963,44036.0,3964.0,333,0.14765625,60703.0,0.0,330,0.4668708110545913,90286.0,30238.0,334,0.5469266839388848,100877.0,49848.0,331,0.5204970996782723,116792.0,51516.0,337
28,754619.0,446212.0,308407.0,4454,2786,1668,0.40869233348219375,0.6318589259432813,0.46616210581981016,0.14708670431963608,0.9094569638620588,0.1340456243481809,0,0.3647991348274465,0.4944032633817973,108599.0,42224.0,334,0.5297286882781038,73576.0,33532.0,335,0.5896476281502698,104733.0,61285.0,332,0.29365234375,55386.0,0.0,332,0.1681640625,84835.0,0.0,332,0.47242134584447915,94564.0,32582.0,334,0.5494205887105497,95633.0,47687.0,334,0.6318589259432813,137293.0,91097.0,328
29,715751.0,409809.0,305942.0,4478,2615,1863,0.4274419455928103,0.6133387977322404,0.45864007180440136,0.15544160582375613,0.8969689842883319,0.18550183653253693,0,0.383487519912579,0.6133387977322404,145707.0,91354.0,329,0.5827054427758838,84038.0,47516.0,338,0.41697974878384386,68916.0,15888.0,331,0.295166015625,49907.0,0.0,328,0.149560546875,67308.0,0.0,336,0.46127700780878855,80034.0,26167.0,331,0.5371291085982768,84168.0,40016.0,337,0.6129639062361777,135673.0,85001.0,337
