epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
22,442913.0,334160.0,108753.0,2581,1837,744,0.2455403205595676,0.556958539523004,0.28460514893826283,0.22678753942884153,0.6116322006068629,0.26990091733590993,0,0.33225495526049753,0,0.4021623883928529,25536.0,5472.0,251,0.5274573427021122,21472.0,10592.0,255,0.00043945312499999996,30183.0,0.0,166,0.07778320312499999,58592.0,0.0,250,0.556958539523004,97939.0,50849.0,249,0.5303508115131336,90818.0,41840.0,247,0.0384765625,61248.0,0.0,248,0.143212890625,57125.0,0.0,249
23,530683.0,418189.0,112494.0,3287,2496,791,0.21197965640504743,0.5887059443501987,0.29693849115576776,0.22075445721336887,0.6440412612118783,0.2512900827801152,0,0.3462216891084728,0,0.4616327602861279,38304.0,12128.0,256,0.48767277644230445,53248.0,18624.0,250,0.052197265625,139821.0,0.0,250,0.07485351562499999,41012.0,0.0,251,0.5042444950425106,66317.0,26889.0,251,0.5887059443501987,94614.0,54853.0,250,0.019775390625,39480.0,0.0,252,0.18642578124999998,57887.0,0.0,250
24,507289.0,363272.0,144017.0,2901,1704,1197,0.2838953732487787,0.6388296251038766,0.3230873437303862,0.25564052249728436,0.6149815243544697,0.3396803892850029,1,0.39306680062300087,0,0.5683746486274163,19744.0,11552.0,251,0.5446071956186049,37568.0,18720.0,247,0.05322265625,140266.0,0.0,250,0.06416015625,30840.0,0.0,246,0.5421157961181922,74656.0,36457.0,251,0.6388296251038766,114315.0,77288.0,248,0.002197265625,41832.0,0.0,243,0.17119140624999998,48068.0,0.0,251
25,504933.0,466729.0,38204.0,2441,2156,285,0.07566152341003643,0.5099247995740286,0.23343999520212766,0.1633131177916084,0.6713972635323023,0.34656751489801585,0,0.28435713565294113,0,0.2990234375,32928.0,0.0,253,0.42595453704299274,31072.0,8064.0,249,0.111181640625,187173.0,0.0,252,0.03662109375,41384.0,0.0,250,0.277587890625,35752.0,0.0,254,0.5099247995740286,71044.0,30140.0,247,0.0478515625,71232.0,0.0,250,0.159375,34348.0,0.0,251
26,451656.0,377283.0,74373.0,2910,2266,644,0.16466735745788794,0.5220602554756459,0.26490249344983224,0.19128823978036044,0.6572720028991673,0.26627178649237426,0,0.3408487956255183,0,0.28256835937499997,18496.0,0.0,250,0.4965297013497131,39712.0,15392.0,250,0.0896484375,87915.0,0.0,250,0.0076171875,20628.0,0.0,253,0.5220602554756459,92529.0,38329.0,249,0.44955577202329894,66756.0,20652.0,247,0.07158203125,71360.0,0.0,246,0.199658203125,54260.0,0.0,249
27,461125.0,396282.0,64843.0,2432,2074,358,0.14061913797777145,0.5438270943978045,0.24879936915970802,0.17412242588824903,0.671235058046742,0.3358078069937649,0,0.336929575402944,0,0.304052734375,30496.0,0.0,245,0.3310152253836278,12512.0,1216.0,248,0.10859374999999999,124237.0,0.0,249,0.0026367187499999997,33236.0,0.0,215,0.5438270943978045,93392.0,45543.0,253,0.4365975553712318,66912.0,18084.0,249,0.0943359375,68264.0,0.0,253,0.1693359375,32076.0,0.0,250
28,515123.0,471792.0,43331.0,2638,2353,285,0.08411777381324444,0.4408388218438203,0.23975338649872951,0.14434022986931264,0.7339731563275438,0.24669860402272814,0,0.2949165187397565,0,0.299853515625,45668.0,0.0,248,0.31025390625,34464.0,0.0,250,0.144140625,129314.0,0.0,252,0.000146484375,38003.0,0.0,139,0.4408388218438203,78782.0,23299.0,251,0.4241120982710158,81052.0,20032.0,252,0.12978515624999998,67572.0,0.0,251,0.168896484375,40268.0,0.0,249
29,680145.0,504115.0,176030.0,3969,2652,1317,0.25881245910798395,0.6168177310566006,0.3483938638585491,0.21561902702300986,0.7230499398769125,0.27114126399517735,2,0.4166560382590093,0,0.500891590771385,59004.0,23557.0,247,0.6154826926622371,65088.0,40992.0,247,0.23569335937500002,170613.0,0.0,250,0.00380859375,41626.0,0.0,139,0.46406631825317013,92688.0,30948.0,252,0.6168177310566006,127038.0,80533.0,254,0.190576171875,85828.0,0.0,248,0.159814453125,38260.0,0.0,246
30,506368.0,473780.0,32588.0,2290,2160,130,0.06435635743174911,0.41380307565625485,0.25897484251665004,0.13144134931068843,0.7951650354601131,0.3411022220993425,0,0.2687888280389912,0,0.3377331742418983,36110.0,3783.0,254,0.3109189989522278,29348.0,1088.0,253,0.321435546875,176871.0,0.0,249,0.0,31303.0,0.0,79,0.37428489753281957,62289.0,9455.0,251,0.41380307565625485,80304.0,18262.0,251,0.166845703125,55948.0,0.0,250,0.14677734374999998,34195.0,0.0,251
31,449100.0,419954.0,29146.0,2168,2041,127,0.06489868626141157,0.4272195250717347,0.2488254608990507,0.12303428754662313,0.8035414377853819,0.3074270763749718,0,0.24896416084584133,0,0.26630859375,12512.0,0.0,248,0.2900390625,38367.0,0.0,251,0.3619193183706708,126737.0,10571.0,251,0.000244140625,32646.0,0.0,108,0.285205078125,51479.0,0.0,249,0.4272195250717347,72836.0,18575.0,252,0.210205078125,70536.0,0.0,250,0.14946289062499998,43987.0,0.0,251
32,527088.0,489569.0,37519.0,2722,2511,211,0.07118166226512447,0.4201610155867207,0.2703293870797059,0.11484516181814804,0.8471101142250138,0.17773977020914877,0,0.26894952129974165,0,0.317333984375,41440.0,0.0,246,0.299072265625,43910.0,0.0,246,0.4053158779259266,82602.0,17931.0,251,0.041894531250000006,102332.0,0.0,211,0.263818359375,41066.0,0.0,254,0.4201610155867207,81640.0,19588.0,249,0.23662109374999998,67856.0,0.0,248,0.17841796875000002,66242.0,0.0,247
33,641018.0,497944.0,143074.0,3733,2850,883,0.22319810052135786,0.5813408059747105,0.3649257429685305,0.15254667535887342,0.8512509787871813,0.24755623087027168,0,0.3640927094022231,0,0.4902763202218028,38592.0,14528.0,250,0.5813408059747105,70495.0,39859.0,250,0.49911904716244887,151548.0,59849.0,253,0.18779296875,126600.0,0.0,253,0.298486328125,62388.0,0.0,248,0.4661990672642816,84450.0,28838.0,251,0.24223632812499998,59540.0,0.0,249,0.153955078125,47405.0,0.0,253
34,609880.0,482387.0,127493.0,3108,2560,548,0.20904604184429687,0.5300386850283645,0.34489918318151574,0.12262215808270875,0.8877825986537154,0.267817439496294,0,0.298709713773268,0,0.33447829597264256,21056.0,1600.0,249,0.47525144814409526,47221.0,16754.0,247,0.5300386850283645,174682.0,80299.0,249,0.18134765625,77038.0,0.0,251,0.36997709401464546,63292.0,7560.0,250,0.4213229422923782,84144.0,21280.0,248,0.27890624999999997,73952.0,0.0,253,0.16787109374999998,68495.0,0.0,246
35,621288.0,499611.0,121677.0,2801,2228,573,0.19584637076524863,0.5217647148704825,0.351363606282584,0.1346105982841051,0.8720124712223718,0.30900524394483697,0,0.29430403551816614,0,0.5204810658837524,40192.0,17888.0,248,0.262939453125,5198.0,0.0,251,0.5217647148704825,165404.0,73410.0,254,0.2423828125,120214.0,0.0,249,0.506407210131437,72866.0,30379.0,246,0.289453125,72197.0,0.0,251,0.311474609375,74880.0,0.0,250,0.156005859375,70337.0,0.0,250
36,603364.0,523262.0,80102.0,2699,2454,245,0.13275899788519013,0.4913816898598611,0.31665812489460404,0.08308649887309849,0.9355883460837436,0.2826705769651485,0,0.3068573012947583,0,0.289599609375,18400.0,0.0,252,0.30224609375,56957.0,0.0,253,0.4913816898598611,171309.0,65621.0,251,0.25058593749999997,75897.0,0.0,246,0.2970703125,56034.0,0.0,253,0.32808920027984273,96304.0,4197.0,254,0.3797120777671288,53092.0,10284.0,249,0.194580078125,75371.0,0.0,251
37,598427.0,453444.0,144983.0,3098,2191,907,0.24227349367591994,0.5930590991848375,0.3784126978321122,0.13271571793460304,0.8904701066834593,0.22860160888462566,0,0.3391164622975645,0,0.283740234375,17984.0,0.0,247,0.47978709915786333,70921.0,24227.0,251,0.3913108928425743,125644.0,23203.0,254,0.27919921875000003,87546.0,0.0,252,0.5930590991848375,93793.0,54699.0,249,0.5075344562741715,92559.0,38798.0,245,0.3300729258224505,63712.0,4056.0,252,0.16259765625,46268.0,0.0,252
38,482777.0,396279.0,86498.0,2462,1905,557,0.1791676074046606,0.46750135713164287,0.3440732597758639,0.10071931724178623,0.9210743125266003,0.2667869948236967,0,0.2848268117639537,0,0.28256835937499997,22240.0,0.0,248,0.3162271206683888,27339.0,2353.0,246,0.4173243677176182,108363.0,25332.0,250,0.30595703124999996,73500.0,0.0,248,0.4584611371955801,79496.0,25163.0,246,0.3631892829936813,71544.0,8846.0,246,0.46750135713164287,76448.0,24804.0,248,0.141357421875,23847.0,0.0,249
39,503300.0,320011.0,183289.0,3258,1972,1286,0.364174448638982,0.6136964035997798,0.41720413509471255,0.14994738441851438,0.8856018278755194,0.2478506854758591,1,0.32720236585932444,0,0.417394145102075,44672.0,9472.0,251,0.26630859375,28512.0,0.0,251,0.47689263186671593,108665.0,39813.0,256,0.5693482434019541,87166.0,45560.0,251,0.48171083114346586,60399.0,21968.0,256,0.38982129439370994,57518.0,10636.0,250,0.6136964035997798,88672.0,55840.0,251,0.12246093749999999,27696.0,0.0,251
40,422239.0,325921.0,96318.0,2390,1705,685,0.2281125144763979,0.6166988967676148,0.3442404295776661,0.1442168200405818,0.8506927746548619,0.3054540793247422,0,0.28554003130761996,0,0.29171117205542685,13856.0,160.0,249,0.2466796875,10720.0,0.0,249,0.4054348022814101,95396.0,19641.0,250,0.6166988967676148,77644.0,49498.0,253,0.4837304595926619,72517.0,26633.0,248,0.3013113030256901,64665.0,258.0,252,0.2924879747735254,50116.0,128.0,248,0.11586914062499999,37325.0,0.0,251
41,443193.0,364492.0,78701.0,2084,1571,513,0.1775772631787953,0.5825049926783793,0.31142214741591934,0.13007508810348753,0.8514570590499454,0.34985181399525667,0,0.3810732991155398,0,0.257958984375,4992.0,0.0,245,0.232763671875,14176.0,0.0,244,0.29868164062499997,90738.0,0.0,249,0.33604000267956124,70324.0,4911.0,253,0.5825049926783793,107953.0,62734.0,251,0.294580078125,65250.0,0.0,253,0.3907032777194144,64968.0,11056.0,250,0.09814453125,24792.0,0.0,245
42,466921.0,344727.0,122194.0,2486,1669,817,0.26170165831050596,0.633314253723268,0.34482386399020215,0.17276735659679457,0.7993401894158167,0.3144099858434293,1,0.34416249832480195,0,0.237890625,11040.0,0.0,252,0.21064453125,8800.0,0.0,247,0.31745162575865393,97294.0,4251.0,249,0.5752362657871186,70934.0,39068.0,245,0.3999715791525767,84878.0,16059.0,249,0.2982421875,56516.0,0.0,250,0.633314253723268,94188.0,62816.0,250,0.08583984374999999,43271.0,0.0,250
43,512237.0,372191.0,140046.0,3017,2146,871,0.2734007890878631,0.5812722477915122,0.3585101354577936,0.15369771412460909,0.8447413835893474,0.25026428196323147,0,0.3625706629850908,0,0.27426757812499997,44304.0,0.0,253,0.20478515625,19456.0,0.0,251,0.4402407659466595,111822.0,30818.0,249,0.5234295995360686,71940.0,32133.0,252,0.5812722477915122,99729.0,56102.0,247,0.4265429779263876,70238.0,18373.0,251,0.3212048674617209,50028.0,2620.0,247,0.09633789062499999,44720.0,0.0,255
44,551305.0,443217.0,108088.0,2845,2250,595,0.19605844314852902,0.5417745164825872,0.34503758371620125,0.13286288127415624,0.8708698175648529,0.20375858191019458,0,0.3327115280511213,0,0.277294921875,49602.0,0.0,249,0.272412109375,48768.0,0.0,251,0.3475479825744432,110990.0,11140.0,249,0.329240025636881,70382.0,5848.0,251,0.5417745164825872,99115.0,47956.0,253,0.45754911244000696,75428.0,23340.0,251,0.45113239197069155,66880.0,19804.0,248,0.083349609375,30140.0,0.0,248
45,596013.0,416529.0,179484.0,3474,2472,1002,0.30114108249316657,0.565959528270129,0.38190375039560553,0.13903865889146697,0.882967135919244,0.2568075276881543,0,0.3276716731558029,0,0.3412348375781655,63127.0,2734.0,253,0.240966796875,19648.0,0.0,250,0.565959528270129,152901.0,81540.0,247,0.4606966275276056,88269.0,27826.0,251,0.5596957679599024,95748.0,49712.0,248,0.336105777879745,54892.0,3996.0,251,0.410580432699297,61892.0,13676.0,251,0.139990234375,59536.0,0.0,246
46,480378.0,384084.0,96294.0,2492,1900,592,0.20045464196944865,0.47543135100203826,0.35873457703328304,0.09915235239952362,0.9290277984421142,0.3165507163109049,0,0.26877894200197944,0,0.46810446619533724,33664.0,11328.0,250,0.2044921875,480.0,0.0,255,0.47543135100203826,120604.0,42551.0,250,0.386353502970493,80721.0,13610.0,252,0.3806669912272602,61020.0,10077.0,251,0.392539474181975,56172.0,11252.0,248,0.3673179400641606,42704.0,7476.0,252,0.194970703125,85013.0,0.0,251
47,483127.0,379933.0,103194.0,2833,2080,753,0.21359601098675873,0.5344664310616494,0.35964368947157493,0.12259899225245646,0.8958918995664603,0.2819204370693418,0,0.3246729735548079,0,0.33915729336318984,19648.0,1792.0,247,0.1869140625,12800.0,0.0,256,0.3151295712521176,72004.0,3339.0,252,0.5154067278885163,55158.0,24086.0,250,0.5344664310616494,94257.0,44191.0,250,0.4706457422071264,89555.0,29786.0,246,0.264111328125,45796.0,0.0,251,0.25131835937499997,93909.0,0.0,250
48,433706.0,354038.0,79668.0,2164,1776,388,0.18369125628882196,0.47866832674371007,0.34648594128132837,0.10850737595557981,0.9106866728558249,0.2272380368267901,0,0.27325705996444555,0,0.47866832674371007,39456.0,13760.0,253,0.163916015625,8448.0,0.0,249,0.42232376871438676,85909.0,20556.0,250,0.4154363874293885,74839.0,17461.0,245,0.4186714457251456,51686.0,12873.0,254,0.4003129922629957,68918.0,15018.0,248,0.25180664062499997,47556.0,0.0,250,0.220751953125,56894.0,0.0,246
49,422088.0,348326.0,73762.0,2212,1827,385,0.17475502738765336,0.5568392163902747,0.31575381989344803,0.1184541733695116,0.876627442246033,0.3264864198934816,0,0.34887589939842767,0,0.2856271983225093,7392.0,160.0,251,0.13212890624999998,3552.0,0.0,249,0.42690185811494596,80267.0,20278.0,245,0.5568392163902747,101442.0,51851.0,248,0.3187716613198544,48744.0,1473.0,253,0.28564453125,65104.0,0.0,250,0.256201171875,55912.0,0.0,249,0.263916015625,59675.0,0.0,247
50,545053.0,424720.0,120333.0,2898,2244,654,0.2207730257424503,0.6238144162474126,0.35393358791765706,0.15049126805525948,0.8468892552182876,0.28851896054145154,1,0.38633742887681355,0,0.36218322158664557,42656.0,3872.0,248,0.106787109375,6752.0,0.0,251,0.3002332085717574,121632.0,128.0,255,0.6238144162474126,119695.0,77553.0,251,0.5331242266576304,64465.0,30340.0,251,0.3531780834028108,73989.0,8440.0,250,0.26982421875,64700.0,0.0,249,0.28232421874999997,51164.0,0.0,250
