epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
30,679042.0,484498.0,194544.0,3672,2551,1121,0.28649774240768566,0.5766117590998161,0.35910040455609304,0.20395939960796813,0.7560901914843687,0.13623715469735287,0,0.3406349235392871,0,0.5043800827954685,120103.0,49410.0,331,0.4564436307373745,109632.0,34720.0,334,0.27231445312499997,54089.0,0.0,330,0.5038330345224551,84092.0,34651.0,334,0.01240234375,77852.0,0.0,332,0.4873452761686302,65306.0,24680.0,335,0.05947265625,75631.0,0.0,329,0.5766117590998161,92337.0,51083.0,335
31,719271.0,456312.0,262959.0,4197,2453,1744,0.3655909942149755,0.6185282144201776,0.3731910049795213,0.23025039093603986,0.7242907409107258,0.19345472707783284,0,0.36898027380631815,0,0.6155486906337102,149214.0,94562.0,336,0.39997270127881757,113816.0,22468.0,334,0.2619140625,55759.0,0.0,333,0.5810960119403854,109959.0,61657.0,331,0.0026367187499999997,58766.0,0.0,259,0.4561734371880797,60112.0,18676.0,336,0.049658203125,68725.0,0.0,338,0.6185282144201776,102920.0,65596.0,336
32,748173.0,479954.0,268219.0,4603,2947,1656,0.3584986360106548,0.5822839652508645,0.40133424367897647,0.22445680411483263,0.7617363476663902,0.1150591173431812,0,0.3425864387963186,0,0.5762674664965172,133377.0,73461.0,337,0.52574241404308,114665.0,52307.0,337,0.3558999858266169,87973.0,5368.0,327,0.5822839652508645,99739.0,56251.0,336,0.006542968749999999,75074.0,0.0,319,0.5725422174658229,73065.0,39848.0,329,0.05625,77188.0,0.0,330,0.53514493159891,87092.0,40984.0,333
33,716591.0,474376.0,242215.0,4186,2666,1520,0.3380101061833035,0.633167494561458,0.3853734436791918,0.21308989678437712,0.765845166840052,0.16006463240537472,0,0.3753418953963476,0,0.5261293716326056,125468.0,56744.0,330,0.3926741574499757,108674.0,19856.0,335,0.4728879544523698,73783.0,25534.0,338,0.633167494561458,111947.0,74627.0,331,0.010595703125,67490.0,0.0,270,0.38011701603018305,43113.0,7906.0,332,0.080224609375,85976.0,0.0,331,0.5871912428069423,100140.0,57548.0,332
34,667885.0,442681.0,225204.0,4143,2697,1446,0.3371897856666936,0.6025962906179098,0.36482867605517455,0.2150547458232886,0.7421303104421693,0.1934758603651825,0,0.35519950988773197,0,0.6025962906179098,139759.0,84663.0,334,0.43079631094546034,100874.0,26447.0,334,0.298625804036005,50281.0,672.0,336,0.5757708160140584,96683.0,53438.0,335,0.0291015625,73126.0,0.0,327,0.3217182465827835,46712.0,1696.0,332,0.06240234375,62574.0,0.0,332,0.5976180339951797,97876.0,58288.0,329
35,721704.0,513136.0,208568.0,4027,2963,1064,0.2889938257235649,0.6053034326320756,0.3756123243937794,0.18396084141499955,0.806537903606664,0.1483011040537392,0,0.35613590519649896,0,0.6053034326320756,138053.0,84377.0,335,0.4438329235654649,118061.0,33916.0,330,0.4496047904488383,88272.0,25636.0,327,0.38366896934604144,72693.0,12143.0,331,0.090380859375,98210.0,0.0,333,0.4939472875000922,65714.0,25304.0,332,0.057275390625,66141.0,0.0,331,0.4808849416577229,74560.0,27192.0,331
36,713343.0,478047.0,235296.0,3977,2620,1357,0.3298497356811515,0.6139937224123374,0.37619263749351234,0.19500218914284526,0.7882119677607053,0.1952463611474422,0,0.3879951059678359,0,0.6139937224123374,160327.0,100699.0,341,0.5069695924655778,126723.0,52864.0,333,0.31007341941098215,59925.0,2208.0,329,0.4875472885659038,79416.0,29773.0,335,0.042041015625,63602.0,0.0,332,0.4612041667582608,58283.0,18808.0,333,0.09218749999999999,85539.0,0.0,333,0.49552439471003673,79528.0,30944.0,333
37,741526.0,443603.0,297923.0,4283,2602,1681,0.4017701334814957,0.5882868892816377,0.41556379201069266,0.21336544464720295,0.791379278209111,0.15695336373910007,0,0.34306718125364594,0,0.5882868892816377,131922.0,76037.0,329,0.5816109494993579,131257.0,73773.0,338,0.5110817002918397,96028.0,39658.0,330,0.5762379081480845,97483.0,53857.0,333,0.048876953125,75879.0,0.0,335,0.4656737326562972,59329.0,19954.0,334,0.05712890625,61142.0,0.0,335,0.49561329683332456,88486.0,34644.0,338
38,694887.0,446566.0,248321.0,3985,2512,1473,0.35735450512097594,0.5738422402255726,0.3920909420490775,0.21001009136903565,0.7770706639108714,0.1611724280350617,0,0.34210355088751504,0,0.5497827715355786,133500.0,66692.0,331,0.525567725737779,124190.0,55978.0,335,0.3937912030515561,68506.0,12797.0,337,0.5738422402255726,97883.0,53609.0,335,0.033837890625,62293.0,0.0,330,0.5049620574370944,65538.0,26648.0,332,0.043212890625,65964.0,0.0,335,0.5117307571550392,77013.0,32597.0,332
39,688960.0,414958.0,274002.0,4071,2482,1589,0.3977037854156984,0.6037203597710517,0.4028006643945281,0.22386320991325634,0.7640139273946974,0.17797078204830452,0,0.3558815328980069,0,0.5530407877088142,131216.0,66406.0,333,0.5580419580419559,120120.0,61992.0,332,0.5099200898473437,79289.0,33521.0,336,0.542270758370955,87266.0,42284.0,331,0.019775390625,59750.0,0.0,330,0.40194456454110433,50126.0,10367.0,333,0.03369140625,63353.0,0.0,330,0.6037203597710517,97840.0,59432.0,338
40,655049.0,479751.0,175298.0,3775,2824,951,0.267610514633256,0.5780367344212428,0.3522860153512748,0.19620647037502992,0.76324472868371,0.14850892833971185,0,0.35469746244654654,0,0.5465509126374263,109989.0,54268.0,332,0.4029436068824935,108914.0,22424.0,338,0.40943824166803294,66249.0,14468.0,334,0.49245143970100286,75988.0,29248.0,333,0.01904296875,71212.0,0.0,334,0.30048828125,41924.0,0.0,333,0.0693359375,82115.0,0.0,331,0.5780367344212428,98658.0,54890.0,335
41,748866.0,438670.0,310196.0,4606,2615,1991,0.41422096877144854,0.6278870114951184,0.419984991714036,0.22732365952751435,0.7734137206796929,0.1586091503686906,0,0.40803226389573477,0,0.4686027729082917,115444.0,38996.0,338,0.5977039635266728,129934.0,77516.0,334,0.431267034150293,69174.0,18120.0,326,0.5619567921489965,92044.0,48304.0,330,0.00029296875,51928.0,0.0,294,0.586817828232916,77604.0,44524.0,335,0.0853515625,86535.0,0.0,335,0.6278870114951184,126203.0,82736.0,330
